id,prefeitura,municipio,url,empresa,unidadegestora
1,Prefeitura Municipal de Afonso Cláudio,Afonso Cláudio,https://afonsoclaudio-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
2,Prefeitura Municipal de Água Doce do Norte,Água Doce do Norte,https://aguadocedonorte-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
3,Prefeitura Municipal de Águia Branca,Águia Branca,https://aguiabranca-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
4,Prefeitura Municipal de Alegre,Alegre,https://alegre-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
5,Prefeitura Municipal de Alfredo Chaves,Alfredo Chaves,https://alfredochaves-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
6,Prefeitura Municipal de Alto Rio Novo,Alto Rio Novo,https://altorionovo-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
7,Prefeitura Municipal de Anchieta,Anchieta,https://www.anchieta.es.gov.br/transparencia/api/,Agape,
8,Prefeitura Municipal de Apiacá,Apiacá,https://Apiaca-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
9,Prefeitura Municipal de Aracruz,Aracruz,http://wstransparencia.aracruz.es.gov.br/api/,Tectrilha,3
10,Prefeitura Municipal de Atílio Vivácqua,Atílio Vivácqua,https://www.pmav.es.gov.br/transparencia/api/,Alphatec,
11,Prefeitura Municipal de Baixo Guandu,Baixo Guandu,https://BaixoGuandu-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
12,Prefeitura Municipal de Barra de São Francisco,Barra de São Francisco,https://BarradeSaoFrancisco-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
13,Prefeitura Municipal de Boa Esperança,Boa Esperança,https://BoaEsperanca-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
14,Prefeitura Municipal de Bom Jesus do Norte,Bom Jesus do Norte,https://BomJesusdoNorte-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
15,Prefeitura Municipal de Brejetuba,Brejetuba,semAPI,Betha,
16,Prefeitura Municipal de Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,https://transparencia.cachoeiro.es.gov.br/transparencia/api/,Agape,
17,Prefeitura Municipal de Cariacica,Cariacica,https://wstransparencia.cariacica.es.gov.br/api/,Tectrilha,6
18,Prefeitura Municipal de Castelo,Castelo,https://Castelo-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
19,Prefeitura Municipal de Colatina,Colatina,https://Colatina-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
20,Prefeitura Municipal de Conceição da Barra,Conceição da Barra,http://187.1.137.226/transparencia/api/,Agape,
21,Prefeitura Municipal de Conceição do Castelo,Conceição do Castelo,https://ConceicaodoCastelo-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
22,Prefeitura Municipal de Divino de São Lourenço,Divino de São Lourenço,https://DivinodeSaoLourenco-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
23,Prefeitura Municipal de Domingos Martins,Domingos Martins,https://DomingosMartins-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
24,Prefeitura Municipal de Dores do Rio Preto,Dores do Rio Preto,https://dadosabertos-portalfacil.azurewebsites.net/391,portalfacil,
25,Prefeitura Municipal de Ecoporanga,Ecoporanga,https://Ecoporanga-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
26,Prefeitura Municipal de Fundão,Fundão,https://Fundao-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
27,Prefeitura Municipal de Governador Lindenberg,Governador Lindenberg,https://GovernadorLindenberg-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
28,Prefeitura Municipal de Guacuí,Guacuí,https://Guacui-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
29,Prefeitura Municipal de Guarapari,Guarapari,,,
30,Prefeitura Municipal de Ibatiba,Ibatiba,https://Ibatiba-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
31,Prefeitura Municipal de Ibiracu,Ibiracu,https://Ibiracu-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
32,Prefeitura Municipal de Ibitirama,Ibitirama,https://Ibitirama-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
33,Prefeitura Municipal de Iconha,Iconha,https://dadosabertos-portalfacil.azurewebsites.net/209,portalfacil,
34,Prefeitura Municipal de Irupi,Irupi,https://Irupi-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
35,Prefeitura Municipal de Itaguaçu,Itaguaçu,https://Itaguacu-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
36,Prefeitura Municipal de Itapemirim,Itapemirim,https://dadosabertos-portalfacil.azurewebsites.net/438,portalfacil,
37,Prefeitura Municipal de Itarana,Itarana,https://Itarana-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
38,Prefeitura Municipal de Iúna,Iúna,https://Iuna-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
39,Prefeitura Municipal de Jaguaré,Jaguaré,https://jaguare-es.portaltp.com.br/api/dadosabertos.aspx,portaltp,
40,Prefeitura Municipal de Jeronimo Monteiro,Jeronimo Monteiro,https://JeronimoMonteiro-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
41,Prefeitura Municipal de João Neiva,João Neiva,https://JoaoNeiva-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
42,Prefeitura Municipal de Laranja da Terra,Laranja da Terra,https://LaranjadaTerra-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
43,Prefeitura Municipal de Linhares,Linhares,https://Linhares-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
44,Prefeitura Municipal de Mantenópolis,Mantenópolis,https://Mantenopolis-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
45,Prefeitura Municipal de Marataízes,Marataízes,https://www.marataizes.es.gov.br/transparencia/api/,Agape,
46,Prefeitura Municipal de Marechal Floriano,Marechal Floriano,https://MarechalFloriano-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
47,Prefeitura Municipal de Marilândia,Marilândia,marilandia-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
48,Prefeitura Municipal de Mimoso do Sul,Mimoso do Sul,https://MimosodoSul-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
49,Prefeitura Municipal de Montanha,Montanha,https://Montanha-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
50,Prefeitura Municipal de Mucurici,Mucurici,https://Mucurici-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
51,Prefeitura Municipal de Muniz Freire,Muniz Freire,https://MunizFreire-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
52,Prefeitura Municipal de Muqui,Muqui,https://Muqui-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
53,Prefeitura Municipal de Nova Venecia,Nova Venecia,https://NovaVenecia-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
54,Prefeitura Municipal de Pancas,Pancas,https://Pancas-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
55,Prefeitura Municipal de Pedro Canário,Pedro Canário,https://PedroCanario-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
56,Prefeitura Municipal de Pinheiros,Pinheiros,https://Pinheiros-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
57,Prefeitura Municipal de Piúma,Piúma,https://www.piuma.es.gov.br/portal/transparencia/api/,Agape,
58,Prefeitura Municipal de Ponto Belo,Ponto Belo,https://PontoBelo-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
59,Prefeitura Municipal de Presidente Kennedy,Presidente Kennedy,https://www.presidentekennedy.es.gov.br/transparencia/api/,Alphatec,
60,Prefeitura Municipal de Rio Bananal,Rio Bananal,https://RioBananal-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
61,Prefeitura Municipal de Rio Novo do Sul,Rio Novo do Sul,https://RioNovodoSul-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
62,Prefeitura Municipal de Santa Leopoldina,Santa Leopoldina,https://SantaLeopoldina-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
63,Prefeitura Municipal de Santa Maria de Jetibá,Santa Maria de Jetibá,https://SantaMariadeJetiba-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
64,Prefeitura Municipal de Santa Teresa,Santa Teresa,https://SantaTeresa-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
65,Prefeitura Municipal de São Domingos do Norte,São Domingos do Norte,https://SaoDomingosdoNorte-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
66,Prefeitura Municipal de São Gabriel da Palha,São Gabriel da Palha,https://SaoGabrieldaPalha-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
67,Prefeitura Municipal de São Jose do Calçado,São Jose do Calçado,https://SaoJosedoCalcado-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
68,Prefeitura Municipal de São Mateus,São Mateus,https://SaoMateus-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
69,Prefeitura Municipal de São Roque do Canaã,São Roque do Canaã,https://SaoRoquedoCanaa-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
70,Prefeitura Municipal da Serra,Serra,https://wstransparencia.serra.es.gov.br/api/,Tectrilha,1
71,Prefeitura Municipal de Sooretama,Sooretama,https://www.sooretama.es.gov.br/transparencia/api/,Alphatec,
72,Prefeitura Municipal de Vargem Alta,Vargem Alta,https://VargemAlta-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
73,Prefeitura Municipal de Venda Nova do Imigrante,Venda Nova do Imigrante,https://VendaNovadoImigrante-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
74,Prefeitura Municipal de Viana,Viana,https://Viana-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
75,Prefeitura Municipal de Vila Pavão,Vila Pavão,https://VilaPavao-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
76,Prefeitura Municipal de Vila Valério,Vila Valério,https://VilaValerio-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
