id,prefeitura,municipio,url,empresa,unidadegestora
1,Prefeitura Municipal de Afonso Cláudio,afonsoclaudio,https://afonsoclaudio-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
2,Prefeitura Municipal de Água Doce do Norte,aguadocedonorte,https://aguadocedonorte-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
3,Prefeitura Municipal de Águia Branca,aguiabranca,https://aguiabranca-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
4,Prefeitura Municipal de Alegre,alegre,https://alegre-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
5,Prefeitura Municipal de Alfredo Chaves,alfredochaves,https://alfredochaves-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
6,Prefeitura Municipal de Alto Rio Novo,altorionovo,https://altorionovo-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
7,Prefeitura Municipal de Anchieta,anchieta,http://anchieta-es.portaltp.com.br/api/dadosabertos.aspx,portaltp,
8,Prefeitura Municipal de Apiacá,apiaca,https://Apiaca-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
9,Prefeitura Municipal de Aracruz,aracruz,http://wstransparencia.aracruz.es.gov.br/api/,Tectrilha,3
10,Prefeitura Municipal de Atílio Vivácqua,atiliovivacqua,https://www.pmav.es.gov.br/transparencia/api/,Alphatec,
11,Prefeitura Municipal de Baixo Guandu,baixoguandu,https://BaixoGuandu-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
12,Prefeitura Municipal de Barra de São Francisco,barradesaofrancisco,https://BarradeSaoFrancisco-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
13,Prefeitura Municipal de Boa Esperança,boaesperança,https://BoaEsperanca-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
14,Prefeitura Municipal de Bom Jesus do Norte,bomjesusdonorte,https://BomJesusdoNorte-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
15,Prefeitura Municipal de Brejetuba,brejetuba,https://www.brejetuba.es.gov.br/transparencia/api/,Agape,
16,Prefeitura Municipal de Cachoeiro de Itapemirim,cachoeiro,https://transparencia.cachoeiro.es.gov.br/transparencia/api/,Agape,
17,Prefeitura Municipal de Cariacica,cariacica,https://wstransparencia.cariacica.es.gov.br/api/,Tectrilha,6
18,Prefeitura Municipal de Castelo,castelo,https://Castelo-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
19,Prefeitura Municipal de Colatina,colatina,https://Colatina-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
20,Prefeitura Municipal de Conceição da Barra,conceicaodabarra,https://conceicaodabarra.cr2.site/,CR2,
21,Prefeitura Municipal de Conceição do Castelo,conceiçãodocastelo,https://ConceicaodoCastelo-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
22,Prefeitura Municipal de Divino de São Lourenço,divinodesaolourenço,https://DivinodeSaoLourenco-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
23,Prefeitura Municipal de Domingos Martins,domingosmartins,https://DomingosMartins-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
24,Prefeitura Municipal de Dores do Rio Preto,doresdoriopreto,https://dadosabertos-portalfacil.azurewebsites.net/391,portalfacil,
25,Prefeitura Municipal de Ecoporanga,ecoporanga,https://Ecoporanga-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
26,Prefeitura Municipal de Fundão,fundao,https://Fundao-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
27,Prefeitura Municipal de Governador Lindenberg,governadorlindenberg,https://GovernadorLindenberg-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
28,Prefeitura Municipal de Guacuí,guacui,https://Guacui-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
29,Prefeitura Municipal de Guarapari,guarapari,http://transparencia.guarapari.es.gov.br:82/,Tectrilha,
30,Prefeitura Municipal de Ibatiba,ibatiba,https://Ibatiba-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
31,Prefeitura Municipal de Ibiracu,ibiracu,https://Ibiracu-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
32,Prefeitura Municipal de Ibitirama,ibitirama,https://Ibitirama-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
33,Prefeitura Municipal de Iconha,iconha,https://dadosabertos-portalfacil.azurewebsites.net/209,portalfacil,
34,Prefeitura Municipal de Irupi,irupi,https://Irupi-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
35,Prefeitura Municipal de Itaguaçu,itaguacu,https://Itaguacu-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
36,Prefeitura Municipal de Itapemirim,itapemirim,https://dadosabertos-portalfacil.azurewebsites.net/438,portalfacil,
37,Prefeitura Municipal de Itarana,itarana,https://Itarana-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
38,Prefeitura Municipal de Iúna,iuna,https://Iuna-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
39,Prefeitura Municipal de Jaguaré,jaguare,https://jaguare-es.portaltp.com.br/api/dadosabertos.aspx,portaltp,
40,Prefeitura Municipal de Jeronimo Monteiro,jeronimomonteiro,https://JeronimoMonteiro-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
41,Prefeitura Municipal de João Neiva,joaoneiva,https://JoaoNeiva-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
42,Prefeitura Municipal de Laranja da Terra,laranjadaterra,https://LaranjadaTerra-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
43,Prefeitura Municipal de Linhares,linhares,https://Linhares-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
44,Prefeitura Municipal de Mantenópolis,mantenopolis,https://Mantenopolis-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
45,Prefeitura Municipal de Marataízes,marataizes,https://www.marataizes.es.gov.br/transparencia/api/,Agape,
46,Prefeitura Municipal de Marechal Floriano,marechalfloriano,https://MarechalFloriano-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
47,Prefeitura Municipal de Marilândia,marilandia,marilandia-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
48,Prefeitura Municipal de Mimoso do Sul,mimosodosul,https://MimosodoSul-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
49,Prefeitura Municipal de Montanha,montanha,https://Montanha-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
50,Prefeitura Municipal de Mucurici,mucurici,https://Mucurici-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
51,Prefeitura Municipal de Muniz Freire,munizfreire,https://MunizFreire-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
52,Prefeitura Municipal de Muqui,muqui,https://Muqui-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
53,Prefeitura Municipal de Nova Venecia,novavenecia,https://NovaVenecia-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
54,Prefeitura Municipal de Pancas,pancas,https://Pancas-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
55,Prefeitura Municipal de Pedro Canário,pedrocanario,https://PedroCanario-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
56,Prefeitura Municipal de Pinheiros,pinheiros,https://Pinheiros-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
57,Prefeitura Municipal de Piúma,piuma,https://www.piuma.es.gov.br/portal/transparencia/api/,Agape,
58,Prefeitura Municipal de Ponto Belo,pontobelo,https://PontoBelo-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
59,Prefeitura Municipal de Presidente Kennedy,presidentekennedy,https://antigo.presidentekennedy.es.gov.br/transparencia/api/,Alphatec,
60,Prefeitura Municipal de Rio Bananal,riobananal,https://RioBananal-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
61,Prefeitura Municipal de Rio Novo do Sul,rionovodosul,https://RioNovodoSul-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
62,Prefeitura Municipal de Santa Leopoldina,santaleopoldina,https://SantaLeopoldina-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
63,Prefeitura Municipal de Santa Maria de Jetibá,santamariadejetiba,https://SantaMariadeJetiba-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
64,Prefeitura Municipal de Santa Teresa,santateresa,https://SantaTeresa-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
65,Prefeitura Municipal de São Domingos do Norte,saodomingosdonorte,https://www.saodomingosdonorte.es.gov.br/transparencia/api/,Agape,
66,Prefeitura Municipal de São Gabriel da Palha,saogabrieldapalha,https://SaoGabrieldaPalha-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
67,Prefeitura Municipal de São Jose do Calçado,saojosedocalçado,https://SaoJosedoCalcado-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
68,Prefeitura Municipal de São Mateus,saomateus,https://SaoMateus-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
69,Prefeitura Municipal de São Roque do Canaã,saoroquedocanaa,https://SaoRoquedoCanaa-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
70,Prefeitura Municipal da Serra,serra,https://wstransparencia.serra.es.gov.br/api/,Tectrilha,1
71,Prefeitura Municipal de Sooretama,sooretama,https://www.sooretama.es.gov.br/transparencia/api/,Alphatec,
72,Prefeitura Municipal de Vargem Alta,vargemalta,https://VargemAlta-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
73,Prefeitura Municipal de Venda Nova do Imigrante,vendanovadoimigrante,https://VendaNovadoImigrante-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
74,Prefeitura Municipal de Viana,viana,https://Viana-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
75,Prefeitura Municipal de Vila Pavão,vilapavao,https://VilaPavao-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
76,Prefeitura Municipal de Vila Valério,vilavalerio,https://VilaValerio-es.portaltp.com.br/api/transparencia.asmx/,portaltp,
